,Abbr,Fullform
1009,BTE,Best Time Ever
1010,BTGOG,By The Grace Of God
1011,BTHO,Beat The Hell Outta
1012,BTHOM,Beats The Hell Outta Me!
1013,BTK,Back To Keyboard
1014,BTL,Between The Lines
1015,BTM,Be There Moment
1016,BTN,Better Than Nothing
1017,BTO,Bachman Turner Overdrive 
1018,BTOBS,Be There Or Be Square
1019,BTR,Better
1020,BTS,Be There Soon
1021,BTT,Bump To Top
1022,BTTF,Back To The Future
1023,BTTT,Back To The Top
1024,BTU,British Thermal Unit
1025,BTW,By The Way
1026,BTWITIAILWU,By The Way I Think I Am In Love With You
1027,BTWITIAILWY,By The Way I Think I Am In Love With You
1028,BTY,Back To You
1029,BU,Backup
1030,BU2M,Been Up To Much
1031,BUB,Buddy
1032,BUBS,Babe
1033,BUBZ,Pet name for BF or GF
1034,BUCK,Fight
1035,BUCKS,Dollars
1036,BUD,Marijuana
1037,BUDDY,Friend
1038,BUEY,similar to DUDE
1039,BUFF,Good Looking
1040,BUG,Bother
1041,BUGGER OFF,Go Away
1042,BUGLE,Cocaine
1043,BUH,dismay
1044,BUKU,A lot of
1045,BUL,Man
1046,BUMMED,Disappointed
1047,BUMMER,Bad Luck
1048,BUMP,Bring Up My Post
1049,BUN,Smoke marijuana
1050,BUN IN THE OVEN,Pregnant
1051,BUNS,Buttocks
1052,BUPPIE,Black Urban Professional
1053,BUR,LOL
1054,BURD,Bird
1055,BURE,Girl
1056,BURK,Idiot
1057,BURMA,Be Upstairs Ready My Angel
1058,BURNED,Insulted
1059,BURNT,Out of it
1060,BURR,Cold
1061,BUSKING,Playing music in public for money
1062,BUSTED,Very Ugly
1063,BUTCH,Masculine
1064,BUTT DIAL,Accidentally call from a phone in your pocket
1065,BUTT HURT,Offended
1066,BUTTER FACE,Girl who is good looking except for her face
1067,BUTTERFACE,A Woman With An Attractive Body But An Ugly Face
1068,BUTTERS,Ugly
1069,BUTTERZ,Ugly
1070,BUZZ,Excitement
1071,BUZZ KILL,Ruin a special moment
1072,BUZZ OFF,Go away
1073,BUZZED,Tipsy
1074,BV,Bad Vibe
1075,BVB,Black Veil Brides 
1076,BVM,Blessed Virgin Mary
1077,BW ,Beautiful Woman
1078,BWC,But Who Cares
1079,BWDIK,But What Do I Know
1080,BWG,Big Wide Grin
1081,BWL,Bursting With Laughter
1082,BWM,Bisexual White Male
1083,BWOI,Friend
1084,BWT,Misspelling of BTW
1085,BWTH,But What The Hell
1086,BWW,Buffalo Wild Wings 
1087,BYAM,Between You And Me
1088,BYKI,Before You Know It
1089,BYKT,But You Know That
1090,BYO,Bring Your Own
1091,BYOB,BYO Beer
1092,BYOC,BYO Computer
1093,BYOM,BYO Music
1094,BYP,Beg Your Pardon
1095,BYT,Bright Young Thing
1096,BYTM,Better You Than Me
1097,C,See
1098,C#,Microsoft programming language
1099,C&C,Command and Conquer 
1100,C&P,Copy & Paste
1101,C'MON,Come On
1102,C++,Programming language
1103,C/D,Confirm
1104,C/O,Class Of ...
1105,C1,Affirmative
1106,C2C,Consumer to Consumer
1107,C4,Plastic explosive
1108,C4C,Comment for Comment
1109,C:,Very happy
1110,CAAC,Cool As A Cucumber
1111,CAB,Misspelling of CBA
1112,CACHAI,Do you understand
1113,CACHE,Store for temporary computer files
1114,CACTUS,Broken
1115,CAD,Computer Aided Design
1116,CADDY,Cadillac
1117,CAKE,Kilo of cocaine
1118,CAKEHOLE,Mouth
1119,CAKING,Flirting
1120,CAL,Cyberathlete Amateur League 
1121,CAM,Computer-Aided Manufacturing
1122,CAMB,Come At Me Bro
1123,CAMEL,Brand of cigarettes
1124,CAMO,Camoflauge
1125,CAMPER,Player who lies in wait for a target
1126,CAN DO,It will be done
1127,CANDYMAN,Drug Dealer
1128,CANON,Original
1129,CANTO,Cantonese
1130,CAP,Shoot
1131,CAPISH,Do you understand
1132,CAPO,Captain
1133,CAPS,Bullets
1134,CAPTCHA,Completely Automated Public Turing Test To Tell Computers and Humans Apart
1135,CARD,Amusing
1136,CARDY,Cardigan
1137,CARE,I don't care
1138,CARPE,Vomit
1139,CARRIED,Told off
1140,CARTY,Party in a car
1141,CAS,Close Air Support
1142,CASJ,Casual
1143,CAT,Cool person
1144,CATFISH,Individual Who Creates a False Online Identity
1145,CAUSE,Because
1146,CAVE,Give up
1147,CAZ,Crazy in a nice way
1148,CBB,Can't Be Bothered
1149,CBBC,Children's BBC
1150,CBC,Canadian Broadcasting Corporation
1151,CBD,Cute But Dumb
1152,CBGB,Country BlueGrass Blues
1153,CBH,Child Bearing Hips
1154,CBI,Californian Bureau of Investigation
1155,CBLTH,Can't Breathe Laughing Too Hard
1156,CBR,Captive Bead Ring 
1157,CBS,Can't Be Stuffed
1158,CBT,Cognitive Behavioural Therapy
1159,CC,Credit Card
1160,CCC,Coricidin Cough & Cold
1161,CCG,Collectible Card Game
1162,CCIE,Cisco Certified Internetwork Expert
1163,CCL,Couldn't Care Less
1164,CCNA,Cisco Certified Network Associate
1165,CCR,Creedence Clearwater Revival 
1166,CCTV,Closed-Circuit Television
1167,CCW,Counterclockwise
1168,CD,Compact Disc
1169,CD-RW,Compact Disk Rewritable
1170,CDC,Cult of the Dead Cow
1171,CDMA,Code Division Multiple Access
1172,CDN,Canadian
1173,CDP,Calm Down Please
1174,CDR,Compact Disc Recordable
1175,CDROM,Compact Disk Read Only Memory
1176,CE,Casual Encounters
1177,CEEB,CBB
1178,CEEBS,CBB
1179,CEEBZ,CBB
1180,CELL,Cellphone
1181,CELLY,Cellphone
1182,CEO,Chief Executive Officer
1183,CEPT,Except
1184,CEREAL,Serious
1185,CES,Consumer Electronics Show
1186,CET,Central European Time
1187,CEWL,Cool
1188,CFC,Chlorofluorocarbon
1189,CFL,Canadian Football League
1190,CFN,Ciao For Now
1191,CFO,Chief Financial Officer
1192,CFV,Call For Votes
1193,CG,Computer Graphics
1194,CGA,Color Graphics Adapter
1195,CGI,Computer-Generated Imagery
1196,CHA,Yes
1197,CHADROOL,Stupid person
1198,CHAMP,Uncool
1199,CHAMPION,Good
1200,CHAO,Goodbye
1201,CHAP,Man
1202,CHAV,Poorly educated
1203,CHAW,Chewing tobacco
1204,CHEA,Yeah
1205,CHEAP SKATE,Mean
1206,CHEDDA,Cash
1207,CHEDDAR,Money
1208,CHEERIO,Goodbye
1209,CHEERS,Thanks
1210,CHEESE,Drug
1211,CHEESE,Drug
1212,CHEESY,Corny
1213,CHEEZ,Cheese
1214,CHELA,Beer
1215,CHEM,Chemistry
1216,CHEVY,Chevrolet
1217,CHI,Chicago Life force
1218,CHIB,Stab
1219,CHICK,Girl
1220,CHICKEN,Kilogram of cocaine
1221,CHILAXING,Chilling and relaxing
1222,CHILL,Relax
1223,CHILL OUT,CHILL
1224,CHILLAX,Chill and relax
1225,CHINK,Offensive term for an Asian or Chinese person
1226,CHINWAG,Chat
1227,CHIO,Sexy
1228,CHIPOTLE,Mexican-style restaurant
1229,CHIPPY,Fish and chip shop
1230,CHIPS,Money
1231,CHIRP,Insult
1232,CHIRPSE,Flirt
1233,CHIZ,Swiz
1234,CHIZZ,Chill out
1235,CHOICE,Nice
1236,CHOLO,Mexican Gangster
1237,CHONG,Good looking
1238,CHOO,You
1239,CHOOB,High level player who acts like a noob
1240,CHOONG,Good looking
1241,CHOP IT UP,Talk
1242,CHOPPER,AK-47 assault rifle
1243,CHORTLE,Chuckle and Snort
1244,CHOUT,Chill Out
1245,CHOW,Bye
1246,CHP,California Highway Patrol
1247,CHRONIC,High quality marijuana
1248,CHU,You
1249,CHUG,Drink
1250,CHULA,Cute
1251,CHUNDER,Be sick
1252,CHUNG,Good looking
1253,CHUTIYA,Mild Indian expletive
1254,CHYA,Yes
1255,CHYEA,Yes
1256,CI,Confidential Informant
1257,CIA,Central Intelligence Agency
1258,CIAO,Italian for Hi or Bye
1259,CIB,Complete In Box
1260,CIC,'Cause I Can
1261,CID,Acid
1262,CIG,Cigarette
1263,CIGGIE,Cigarette
1264,CIGGY,Cigarette
1265,CIHY,Can I Help You
1266,CIMH,Chuckle In My Head
1267,CINI,Cinema
1268,CINO,Catholic
1269,CIO,Check It Out
1270,CIR,Committed Information Rate 
1271,CITA,Caught In The Act
1272,CK,CRIP Killa
1273,CKI,Chair-Keyboard Interface
1274,CKL,Chuckle
1275,CL,Chain Letter
1276,CLAP,Gonorrhea
1277,CLAPPED,Shot
1278,CLARET,Blood
1279,CLASS,Cool
1280,CLEO,Chief Law Enforcement Officer
1281,CLI,Command Line Interface
1282,CLICK,Kilometre
1283,CLIQUE,Group of friends
1284,CLM,Career Limiting Move
1285,CLOCK,Look at
1286,CLOUD,The Internet
1287,CLOUD 9,Feeling of euphoria
1288,CLT,Currently Listening To
1289,CLUBBING,Visiting nightclubs
1290,CLUBHEAD,Person who goes to clubs a lot
1291,CLUT,Clumsy person
1292,CLUTCH,Perform under pressure
1293,CLWY,Can't Live Without You
1294,CM,Call Me
1295,CMAR,Cry Me A River
1296,CMB,Call Me Back
1297,CMC,Casi Me Cago
1298,CMD,Command
1299,CME,Close My Eyes
1300,CMEO,Crying My Eyes Out
1301,CMH,Cross My Heart
1302,CMHO,Cry My Heart Out
1303,CMI,Count Me In
1304,CMIIW,Correct Me If I'm wrong.
1305,CMIYC,Catch Me If You Can
1306,CML,Call Me Later
1307,CMN,Call Me Now
1308,CMNT,Comment
1309,CMOS,Complementary Metal-Oxide Semiconductor
1310,CMS,Content Management System
1311,CMT,Comment
1312,CMU,Cracks Me Up
1313,CMYK,Cyan Magenta Yellow Key
1314,CNA,Certified Nursing Assistant
1315,CNC,Command and Conquer
1316,CND,Campaign for Nuclear Disarmament
1317,CNN,Cable News Network
1318,CNY,Chinese New Year
1319,CO,Commanding Officer
1320,CO2,Carbon Dioxide
1321,COA,Certificate Of Authenticity
1322,COALBURNER,White woman that dates black men
1323,COCK UP,Mistake
1324,COCKY,Thinking too highly of yourself
1325,COD,Cash On Delivery
1326,COD4,Call Of Duty 4 
1327,CODE,Computer program
1328,CODEC,Coder-Decoder 
1329,COED,Coeducational 
1330,COG,Coalition of Gears 
1331,COKE,Cocaine
1332,COL,Crying Out Loud
1333,COLA,Top bud of a marijuana plant
1334,COMMANDO,Without underwear
1335,COMMY,Communist
1336,CONDO,Apartment
1337,CONGRATS,Congratulations
1338,CONT,Continued
1339,CONTD,Continued
1340,CONVO,Conversation
1341,COO,Cool
1342,COOKIE,Small file relating to a website
1343,COOL BEANS,Cool
1344,COOLIN,CHILLing
1345,COP,Officer of the law
1346,COPACETIC,Cool
1347,COPY THAT,I understand
1348,COPYCAT,Someone who copies someone else
1349,COPYPASTA,Post that has been copied and pasted
1350,COR,God
1351,CORNY,Uncool
1352,COS,Because
1353,COSPLAY,Costume Play
1354,COTCH,Relax
1355,COTD,Comment Of The Day
1356,COUCH POTATO,Lazy person who sits all day watching TV
1357,COUGAR,Older woman looking for a younger man
1358,COUGER,Older woman looking for a younger man
1359,COUGH,Confess
1360,COUPLE,Two people in a relationship
1361,COURSE,Of course certainly
1362,COW,Offensive term for a woman
1363,COYB,Come On You Blues
1364,COYG,Come On You Gunners
1365,COYOTE,Person who smuggles immigrants
1366,COYR,Come On You Reds
1367,COYS,Come On You Spurs
1368,COZ,Because
1369,CPC,Cost Per Click
1370,CPI,Consumer Price Index
1371,CPL,Cyberathlete Professional League 
1372,CPM,Cost Per Thousand
1373,CPP,C Plus Plus
1374,CPR,Cardiopulmonary Resuscitation
1375,CPT,Colored People's Time
1376,CPU,Central Processing Unit
1377,CQB,Close Quarters Battle
1378,CQC,Close Quarters Combat
1379,CQTMS,Chuckle Quietly To Myself
1380,CR,Credit
1381,CRAB,Derogatory word for a CRIP
1382,CRACK,A form of cocaine
1383,CRACKA,Offensive term for a white person
1384,CRAIC,Good times
1385,CRAY,Crazy
1386,CRAY CRAY,Really crazy
1387,CRB,Criminal Records Bureau
1388,CRBT,Crying Real Big Tears
1389,CRC,Cyclic Redundency Check
1390,CREASING,Laughing
1391,CREEP,Weird
1392,CREEPER,Someone who views your profile but doesn't make contact
1393,CREPS,Trainers
1394,CREY,Cry
1395,CRIB,House
1396,CRICKETS,Said after a lame joke to break the silence
1397,CRIMBO,Christmas
1398,CRIP,Community Restoration in Progress
1399,CRIT,Critical hit 
1400,CRM,Customer Relationship Management
1401,CROAK,Die
1402,CROW,Marijuana
1403,CRT,Cathode Ray Tube
1404,CRUNK,Crazy and drunk
1405,CRUSH,Infatuation
1406,CRUSTY,Dirty
1407,CRV,Compact Recreational Vehicle
1408,CS,Counter-Strike
1409,CSA,Cheap Shot Artist
1410,CSB,Cool Story Bro 
1411,CSI,Crime Scene Investigation 
1412,CSL,Can't stop laughing
1413,CSM,Client Side Modification
1414,CSR,Customer Service Representative
1415,CSS,Counter Strike: Source
1416,CST,Central Standard Time
1417,CSU,California State University
1418,CSV,Comma Separated Values
1419,CTC,Call The Cell
1420,CTD,Crash To Desktop
1421,CTF,Capture The Flag
1422,CTHU,Crack The Hell Up
1423,CTM,Chuckling To Myself
1424,CTN,Can't Talk Now
1425,CTO,Check This Out
1426,CTR,Click Through Rate
1427,CTRL,Control 
1428,CTRN,Cant Talk Right now
1429,CTS,Chuckles To Self
1430,CTU,Counter Terrorist Unit
1431,CU,See You
1432,CUAD,Curl Up And Die
1433,CUCKOO,Mad
1434,CUDDY,Buddy
1435,CUFF,Overprotect
1436,CUFFED,Taken
1437,CUG,Closed User Group
1438,CUH,Cousin
1439,CUIAB,See You In A Bit
1440,CUL,See You Later.
1441,CUL8ER,See You Later
1442,CUL8R,See You Later
1443,CULA,See You Later Alligator
1444,CULO,Ass 
1445,CUMBERBITCH,Female Fan Of Benedict Cumberbatch
1446,CUOL,See You On Line
1447,CUPPA,Cup of tea
1448,CUS,Friend
1449,CUSH,High grade marijuana
1450,CUSHTI,Good
1451,CUSS,Curse
1452,CUT,See You Tomorrow
1453,CUTCH,Snuggle up
1454,CUTE,Someone
1455,CUTIE,Cute
1456,CUTY,Cutie
1457,CUWYL,Catch Up With You Later
1458,CUZ,Because
1459,CUZZ,Friend
1460,CUZZO,Friend
1461,CV,Curriculum Vitae
1462,CVV,Card Verification Value
1463,CW,Clockwise
1464,CWB,Crazy White Boys
1465,CWD,Comment When Done
1466,CWOT,Complete Waste Of Time
1467,CWT,Hundred Weight 100lbs
1468,CWTCH,Hug or cuddle
1469,CWTCU,Can't Wait To See You
1470,CWTSY,Can't Wait To See You
1471,CWUC,Call When You Can
1472,CWYL,Chat With You Later.
1473,CYB,Count Your Blessings
1474,CYBI,Can You Believe It
1475,CYDI,Can You Dig It
1476,CYDM,Check Your Direct Messages
1477,CYE,Check Your Email
1478,CYF,Cross Your Fingers
1479,CYL,Catch You Later
1480,CYL8R,See You Later
1481,CYM,Check Your Mail
1482,CYO,See You Online
1483,CYOOT,Cute
1484,CYPH,To Share A Smoke
1485,CYT,See You Tomorrow
1486,CZ,Condition Zero 
1487,D BO,Steal
1488,D&D,Dungeons and Dragons
1489,D&M,Deep and Meaningful
1490,D'S,Dayton rims
1491,D(M)V,DC Maryland Virginia
1492,D-DAY,6th June 1944
1493,D/C,Disconnected
1494,D00D,Dude
1495,D12,Dirty Dozen
1496,D2F,DTF
1497,D2M,Dead to Me
1498,D8,Date
1499,D:,Suprised
1500,D:<,Angry
1501,D;,Crying
1502,DA,The District Attorney
1503,DA BOMB,Excellent
1504,DAB,Digital Audio Broadcasting
1505,DADA,Defence Against the Dark Arts 
1506,DADT,Don't Ask Don't Tell
1507,DAE,Does Anybody Else
1508,DAG,Damn
1509,DAGGY,Uncool
1510,DAGO,Offensive term for an Italian
1511,DAM,Don't Ask Me
1512,DAMAGE,Cost of something
1513,DAMHIK,Don't Ask Me How I Know
1514,DAMHIKT,Don't Ask Me How I Know That
1515,DANG,Damn
1516,DANK,Very potent marijuana
1517,DAP,Touching of fists greeting
1518,DAQ,Don't Ask Questions
1519,DARE,Drug Abuse Resistance Education
1520,DARL,Darling
1521,DARN,Damn
1522,DARPA,Defense Advanced Research Projects Agency
1523,DAT,That
1524,DATO,Dining At The Orifice
1525,DAVID,Cool guy
1526,DAW,Digital Audio Workstation
1527,DAWG,Close Friend
1528,DAYUM,Damn
1529,DB,Douche Bag
1530,DBA,Don't Bother Asking
1531,DBC,Dime By Comparison
1532,DBD,Don't Be Dumb
1533,DBEYR,Don't Believe Everything You Read
1534,DBF,Dat Be Fair
1535,DBI,Douche Bag Index
1536,DBJ,Don't Be Jealous
1537,DBL,Don't Be Late
1538,DBM,Don't Bother Me
1539,DBMS,Database Management System
1540,DBNT,Don't Bother Next Time
1541,DBR,Damaged Beyond Repair
1542,DBS,Don't Be Stupid
1543,DBT,Doing Big Things
1544,DBZ,Dragon Ball Z
1545,DC,Don't Care
1546,DCED,Dissconected
1547,DCF,Department of Children and Families
1548,DCI,Drum Corps International
1549,DCOI,Don't Count On It
1550,DCT,Dream Come True
1551,DD FREE,Disease And Drug Free
1552,DDB,Deaf Dumb Blind
1553,DDF,Drug and Disease Free
1554,DDG,Drop Dead Gorgeous
1555,DDI,Don't Do It
1556,DDMMYY,Day Month Year
1557,DDOS,Distributed Denial of Service 
1558,DDR,Dance Dance Revolution 
1559,DDT,Don't Do That
1560,DE,The
1561,DEA,Drug Enforcement Administration
1562,DEAD ASS,Serious
1563,DEALING,Acting like boyfriend
1564,DEAR,Drop Everything And Read
1565,DEB,Don't Even Bother
1566,DEBO,Steal
1567,DEC,Decent
1568,DECENT,Good
1569,DECK,Cool
1570,DED,Dead from joy
1571,DEEC,Decent
1572,DEECE,Decent
1573,DEETS,Details
1574,DEEZ,These
1575,DEF,Cool
1576,DEFF,Definitely
1577,DEFFO,Definitely
1578,DEFO,Definitely
1579,DEFS,Definitely
1580,DEGT,Don't Even Go There
1581,DEH,DOH
1582,DEKE,Avoid
1583,DELISH,Delicious
1584,DEM,Them
1585,DEN,Then
1586,DENCH,Awesome
1587,DEPT,Department
1588,DER,Duh!
1589,DERE,There
1590,DERO,Derelict
1591,DEROB,Very bored
1592,DERP,Reply to stupid comment or action
1593,DERR,DUH
1594,DERV,Diesel Engine Road Vehicle
1595,DESI,Someone from the Indian subcontinent
1596,DESPO,Desperate
1597,DESU,It is
1598,DET,Don't Even Trip
1599,DETAI,Don't Even Think About It
1600,DEUCES,Peace
1601,DEVO,Devastated
1602,DEY,They
1603,DF,Dumbass Frankenstein
1604,DFE,Dead Fish Experience
1605,DFF,Don't Forget to Flush
1606,DFI,Don't Force It
1607,DFLI,Don't Feel Like It
1608,DFM,Dance Floor Makeout
1609,DFO,Done Fell Out
1610,DFS,Dating For Sport
1611,DFTBA,Don't Forget To Be Awesome
1612,DFTD,Done For The Day
1613,DFTS,Don't Forget to Smile
1614,DFTSYP,Don't Forget To Say Your Prayers
1615,DFTT,Don't Feed The Troll
1616,DFW,Down For Whatever
1617,DG,Don't Go
1618,DGI,Don't Get Involved
1619,DGK,Dirty Ghetto Kids 
1620,DGOT,Don't Go Over There
1621,DGT,Don't Go There
1622,DGTWM,Don't Go There With Me
1623,DH,Darling Husband
1624,DHCP,Dynamic Host Configuration Protocol
1625,DHL,Shipping Company
1626,DHMU,Don't Hit Me Up
1627,DHS,Department of Homeland Security
1628,DHTML,Dynamic HTML
1629,DHV,Demonstration of Higher Value
1630,DHYB,Don't Hold Your Breath
1631,DIAF,Die In A Fire
1632,DIAO,Cool
1633,DIBS,A claim
1634,DIC,Do I Care
1635,DIDDO,DITTO
1636,DIDO,DIDDO
1637,DIG,Understand
1638,DIGG,Social bookmarking website
1639,DIGITS,Telephone number
1640,DIGS,Home
1641,DIKU,Do I Know You
1642,DIKY,Do I Know You
1643,DIL,Daughter-In-Law
1644,DILLIC,Does It Look Like I Care
1645,DILLIGAD,Do I Look Like I Give A Darn
1646,DIME,$10 of a drug
1647,DIMER,10
1648,DIMM,Dual In-line Memory Module
1649,DIN,Do It Now
1650,DIN DIN,Dinner
1651,DINERO,Money
1652,DING,Just hit new level in RPG
1653,DINGBAT,Stupid person
1654,DINGY,Ignore
1655,DINK,Dual Income No Kids
1656,DINKY,Tiny
1657,DINLO,Stupid person
1658,DINT,Did not
1659,DIP,Leave
1660,DIPPED,Fashionable
1661,DIQUE,Supposedly
1662,DIRT,Low grade marijuana
1663,DIS,Did I Say
1664,DISO,Desperately In Search Of
1665,DISS,Disrespect
1666,DISSING,Being disrespectful
1667,DISTRO,Distribution
1668,DIT,Details In Thread
1669,DITD,Down In The Dumps
1670,DITTO,The same
1671,DITZY,Acting dumb and innocent
1672,DIV,Stupid person
1673,DIVA,Talented but arrogant female performer
1674,DIVX,Video format
1675,DIY,Do It Yourself
1676,DIZZY,Crazy
1677,DJ,Disc Jockey
1678,DJM,Don't Judge Me
1679,DK,Don't Know
1680,DKDC,Don't Know Don't Care
1681,DKFS,Don't Know For Sure
1682,DKM,Don't Kill Me
1683,DKNY,Donna Karan New York
1684,DKP,Dragon Kill Points
1685,DKY,Don't Know Yet
1686,DL,Down Low
1687,DLAM,Don't Laugh At Me
1688,DLB,Don't Look Back
1689,DLC,Downloadable Content
1690,DLL,Dynamic Link Library
1691,DLN,Don't Look Now
1692,DLS,Dirty Little Secret
1693,DLTBBB,Don't Let The Bed Bugs Bite
1694,DLTBGYD,Don't Let The Bastards Grind You Down
1695,DLTM,Don't Lie To Me
1696,DLV,Demonstration of Lower Value
1697,DM,Don't Mind
1698,DMAF,Don't Make A Fuss
1699,DMAL,Drop Me A Line
1700,DMB,Dave Matthews Band
1701,DMC,Deep Meaningful Conversation
1702,DMCA,Digital Millennium Copyright Act
1703,DMG,Damage
1704,DMI,Don't Mention It
1705,DMIID,Don't Mind If I Do
1706,DMM,Don't Mind Me
1707,DMML,Don't Make Me Laugh
1708,DMN,Damn
1709,DMS,Dirty Money Syndicate
1710,DMT,Di-Methyl Tryptamine 
1711,DMTA,Dirty Minds Think Alike
1712,DMV,Department of Motor Vehicles
1713,DMW,Dead Man Walking
1714,DMX,Dark Man X 
1715,DMY,Don't Mess Yourself
1716,DMZ,De-militarized zone
1717,DN,Doing Nothing
1718,DNA,Deoxyribonucleic Acid
1719,DNB,Drum And Bass
1720,DNC,Democratic National Committee
1721,DND,Do Not Disturb
1722,DNDC,Don't Know Don't Care
1723,DNE,Do Not Erase
1724,DNF,Did Not Finish
1725,DNFTT,Do Not Feed The Troll
1726,DNK,Do Not Know
1727,DNM,Does Not Matter
1728,DNO,Don't Know
1729,DNP,Do Not Post
1730,DNR,Do Not Resuscitate
1731,DNS,Domain Name Service
1732,DNT,Don't
1733,DNTK,Don't Need To Know
1734,DNW,Do Not Want
1735,DOA,Dead On Arrival
1736,DOB,Date Of Birth
1737,DOBE,Idiot
1738,DOC,Doctor
1739,DOD,Day of Defeat
1740,DODGY,Of questionable legality morality integrity
1741,DOE,Depends On Experience
1742,DOF,Depth of Field
1743,DOFL,Dying On Floor Laughing
1744,DOG,Telephone
1745,DOG FOOD,Heroin
1746,DOGG,Friend
1747,DOH,frustration
1748,DOHC,Dual Overhead Cam
1749,DOI,Duh
1750,DOJA,Marijuana
1751,DOKE,Diet Coke
1752,DOL,Dying Of Laughter
1753,DOLO,Alone
1754,DOMA,Defense Of Marriage Act
1755,DOMO,Thank you
1756,DOMS,Delayed Onset Muscular Soreness
1757,DON,Top man
1758,DONE,Finished
1759,DONNO,I don't know
1760,DOOBIE,Marijuana cigarette
1761,DOOD,Dude
1762,DOODE,DUDE
1763,DOOFUS,Stupid person
1764,DOOM,Classic FPS
1765,DOPE,Heroin
1766,DORB,Adorable
1767,DORK,Silly
1768,DOS,Disk Operating System
1769,DOSH,Money
1770,DOSHA,Marijuana
1771,DOSSER,Lazy person
1772,DOT,Damage Over Time
1773,DOTA,Defence Of The Ancients
1774,DOUCHE,Idiot
1775,DOUGH,Money
1776,DOUGIE,Swagger
1777,DOW,Dawn Of War 
1778,DOWNER,Someone or something that brings the mood down
1779,DOWNS,Downs-Syndrome
1780,DOX,Documents
1781,DOXING,Collect Personal Information
1782,DPI,Don't Push It
1783,DPS,Damage Per Second
1784,DPT,Dipropyltryptamine
1785,DPU,Data Processing Unit
1786,DPYN,Don't Pick Your Nose
1787,DQ,Disqualified
1788,DQMOT,Don't Quote Me On This
1789,DQYDJ,Don't Quit Your Day Job
1790,DR,Double Rainbow
1791,DRAG,Inhale smoke from cigarette or joint
1792,DRAW,Cannabis
1793,DRED,Cruel
1794,DRINKY POO,Alcoholic drink
1795,DRIVE BY,Recce
1796,DRM,Digital Rights Management
1797,DRO,HyDROponically grown marijuana
1798,DROVE,Mad
1799,DRT,Dead Right There
1800,DS,Darling Son
